0X1.18P+5,0X1.C715A530FF3C5P+1,0X0P+0
0X1.2P+5,0X1.CAB0BFA2A2002P+1,0X0P+0
0X1.28P+5,0X1.CE328EE3AC7BDP+1,0X1P+0
0X1.3P+5,0X1.D19C6C5C341A8P+1,0X1P+0
0X1.38P+5,0X1.D4EF968880DD6P+1,0X1P+0
0X1.4P+5,0X1.D82D33B32720DP+1,0X0P+0
0X1.48P+5,0X1.DB565458EAC4EP+1,0X0P+0
0X1.5P+5,0X1.DE6BF542E3D2DP+1,0X0P+0
0X1.58P+5,0X1.E16F01614EC11P+1,0X0P+0
0X1.6P+5,0X1.E460536FC5443P+1,0X0P+0
0X1.68P+5,0X1.E740B76A3C9A4P+1,0X0P+0
0X1.7P+5,0X1.EA10EBD90426CP+1,0X0P+0
0X1.78P+5,0X1.ECD1A2F90F0B6P+1,0X0P+0
0X1.8P+5,0X1.EF8383C50BB75P+1,0X0P+0
0X1.88P+5,0X1.F2272AE325A57P+1,0X0P+0
0X1.9P+5,0X1.F4BD2B7AC1BAFP+1,0X0P+0
0X1.98P+5,0X1.F7460FF5100FFP+1,0X0P+0
0X1.AP+5,0X1.F9C25AAAEA949P+1,0X0P+0
0X1.A8P+5,0X1.FC32868223CABP+1,0X1P+0
0X1.BP+5,0X1.FE97077C2130CP+1,0X1P+0
0X1.B8P+5,0X1.0078259BAFEF3P+2,0X1P+0
0X1.CP+5,0X1.019F5CB2A6C5P+2,0X0P+0
0X1.C8P+5,0X1.02C15A1AD9A59P+2,0X0P+0
0X1.DP+5,0X1.03DE4C5C6464DP+2,0X0P+0
0X1.D8P+5,0X1.04F65F9C72979P+2,0X0P+0
0X1.EP+5,0X1.0609BDC65328BP+2,0X0P+0
0X1.E8P+5,0X1.07188EB126C0DP+2,0X0P+0
0X1.FP+5,0X1.0822F8427DCEBP+2,0X0P+0
0X1.F8P+5,0X1.09291E8E3181BP+2,0X0P+0
0X1P+6,0X1.0A2B23F3BAB73P+2,0X0P+0
0X1.04P+6,0X1.0B29293942975P+2,0X0P+0
0X1.08P+6,0X1.0C234DA4A23A6P+2,0X1P+0
0X1.0CP+6,0X1.0D19AF128112DP+2,0X1P+0
0X1.1P+6,0X1.0E0C6A0BBCE39P+2,0X0P+0
0X1.14P+6,0X1.0EFB99D941ABBP+2,0X0P+0
0X1.18P+6,0X1.0FE7589674121P+2,0X0P+0
0X1.1CP+6,0X1.10CFBF424D6C9P+2,0X0P+0
0X1.2P+6,0X1.11B4E5CF4573FP+2,0X0P+0
0X1.24P+6,0X1.1296E33222FE6P+2,0X0P+0
0X1.28P+6,0X1.1375CD6FCAB1DP+2,0X0P+0
0X1.2CP+6,0X1.1451B9AA2075CP+2,0X0P+0
0X1.3P+6,0X1.152ABC2C0E812P+2,0X0P+0
0X1.34P+6,0X1.1600E874C323CP+2,0X0P+0
0X1.38P+6,0X1.16D4514234E29P+2,0X0P+0
0X1.3CP+6,0X1.17A5089AFB173P+2,0X0P+0
0X1.4P+6,0X1.18731FD788044P+2,0X0P+0
0X1.44P+6,0X1.193EA7AAD030BP+2,0X1P+0
0X1.48P+6,0X1.1A07B02A69D65P+2,0X1P+0
0X1.4CP+6,0X1.1ACE48D62E482P+2,0X0P+0
0X1.5P+6,0X1.1B92809F665D4P+2,0X0P+0
0X1.54P+6,0X1.1C5465EF8A30AP+2,0X0P+0
0X1.58P+6,0X1.1D1406AE9BD46P+2,0X0P+0
0X1.5CP+6,0X1.1DD1704923FD2P+2,0X0P+0
0X1.6P+6,0X1.1E8CAFB5D716P+2,0X0P+0
0X1.64P+6,0X1.1F45D17AE8AF6P+2,0X0P+0
0X1.68P+6,0X1.1FFCE1B312C1P+2,0X0P+0
0X1.6CP+6,0X1.20B1EC1255CBEP+2,0X0P+0
0X1.7P+6,0X1.2164FBEA76874P+2,0X0P+0
0X1.74P+6,0X1.22161C2F3D67P+2,0X0P+0
0X1.78P+6,0X1.22C5577A7BF99P+2,0X0P+0
0X1.7CP+6,0X1.2372B80FDBCE3P+2,0X1P+0
0X1.8P+6,0X1.241E47E07A4F8P+2,0X1P+0
0X1.84P+6,0X1.24C8108E54BF8P+2,0X1P+0
0X1.88P+6,0X1.25701B6F8746AP+2,0X0P+0
0X1.8CP+6,0X1.2616719161D2BP+2,0X0P+0
0X1.9P+6,0X1.26BB1BBB55516P+2,0X0P+0
