x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,0,4611686018427387904,4611686018427387904,0,0,4611686018427387904,4611686018427387904,4611686018427387904,
2.000000e-02,0,9209424794074192767,9209424794074192763,1,1,9209424794074192767,9209424794074192767,9209424794074192767,
3.000000e-02,0,9211803927660191870,9211803927660191862,0,0,9211803927660191870,9211803927660191870,9211803927660191870,
4.000000e-02,0,9212572675125263615,9212572675125263611,1,1,9212572675125263615,9212572675125263615,9212572675125263615,
5.000000e-02,0,9213009119023735169,9213009119023735161,0,0,9213009119023735169,9213009119023735169,9213009119023735169,
6.000000e-02,0,9213365719653929983,9213365719653929977,1,1,9213365719653929983,9213365719653929983,9213365719653929983,
7.000000e-02,0,9213667221190764063,9213667221190764056,1,1,9213667221190764063,9213667221190764063,9213667221190764063,
8.000000e-02,0,9213928393701563263,9213928393701563258,0,0,9213928393701563263,9213928393701563263,9213928393701563263,
9.000000e-02,0,9214158764182596351,9214158764182596343,0,0,9214158764182596351,9214158764182596351,9214158764182596351,
1.000000e-01,0,9214364837600034816,9214364837600034816,0,0,9214364837600034816,9214364837600034816,9214364837600034816,
1.100000e-01,0,9214178421518580369,9214178421518580347,0,0,9214178421518580370,9214178421518580370,9214178421518580370,
1.200000e-01,0,9214008236969840002,9214008236969839980,0,0,9214008236969840002,9214008236969840002,9214008236969840002,
1.300000e-01,0,9213851682361044400,9213851682361044370,1,1,9213851682361044400,9213851682361044400,9213851682361044400,
1.400000e-01,0,9213706735433005920,9213706735433005884,0,0,9213706735433005920,9213706735433005920,9213706735433005920,
1.500000e-01,0,9213571793071368449,9213571793071368443,1,1,9213571793071368449,9213571793071368449,9213571793071368449,
1.600000e-01,0,9213445562922206721,9213445562922206699,1,1,9213445562922206721,9213445562922206721,9213445562922206721,
1.700000e-01,0,9213326987923587689,9213326987923587672,0,0,9213326987923587689,9213326987923587689,9213326987923587689,
1.800000e-01,0,9213215192441173634,9213215192441173607,0,0,9213215192441173634,9213215192441173634,9213215192441173634,
1.900000e-01,0,9213109442986655471,9213109442986655431,1,1,9213109442986655471,9213109442986655471,9213109442986655471,
2.000000e-01,0,9213009119023735168,9213009119023735162,1,1,9213009119023735168,9213009119023735168,9213009119023735168,
2.100000e-01,0,9212913690904339553,9212913690904339511,1,1,9212913690904339553,9212913690904339553,9212913690904339553,
2.200000e-01,0,9212822702942280721,9212822702942280693,1,1,9212822702942280721,9212822702942280721,9212822702942280721,
2.300000e-01,0,9212735760252536448,9212735760252536435,1,1,9212735760252536448,9212735760252536448,9212735760252536448,
2.400000e-01,0,9212652518393540353,9212652518393540326,1,1,9212652518393540353,9212652518393540353,9212652518393540353,
2.500000e-01,0,9212572675125263616,9212572675125263581,0,0,9212572675125263616,9212572675125263616,9212572675125263616,
2.600000e-01,0,9212495963784744753,9212495963784744717,0,0,9212495963784744753,9212495963784744753,9212495963784744753,
2.700000e-01,0,9212422147912507266,9212422147912507233,1,1,9212422147912507266,9212422147912507266,9212422147912507266,
2.800000e-01,0,9212351016856706273,9212351016856706232,0,0,9212351016856706273,9212351016856706273,9212351016856706273,
2.900000e-01,0,9212282382149000214,9212282382149000187,1,1,9212282382149000214,9212282382149000214,9212282382149000214,
3.000000e-01,0,9212216074495068801,9212216074495068790,0,0,9212216074495068801,9212216074495068801,9212216074495068801,
3.100000e-01,0,9212151941258778650,9212151941258778638,0,0,9212151941258778650,9212151941258778650,9212151941258778650,
3.200000e-01,0,9212043457465022084,9212043457465022057,1,1,9212043457465022084,9212043457465022084,9212043457465022084,
3.300000e-01,0,9211862899668143926,9211862899668143892,1,1,9211862899668143926,9211862899668143926,9211862899668143926,
3.400000e-01,0,9211687732469164987,9211687732469164964,0,0,9211687732469164987,9211687732469164987,9211687732469164987,
3.500000e-01,0,9211517643302005024,9211517643302004998,0,0,9211517643302005024,9211517643302005024,9211517643302005024,
3.600000e-01,0,9211352346021922822,9211352346021922789,1,1,9211352346021922822,9211352346021922822,9211352346021922822,
3.700000e-01,0,9211191578009067136,9211191578009067114,0,0,9211191578009067136,9211191578009067136,9211191578009067136,
3.800000e-01,0,9211035097658368335,9211035097658368334,1,1,9211035097658368335,9211035097658368335,9211035097658368335,
3.900000e-01,0,9210882682195536020,9210882682195535979,0,0,9210882682195536020,9210882682195536020,9210882682195536020,
4.000000e-01,0,9210734125769607426,9210734125769607415,0,0,9210734125769607425,9210734125769607425,9210734125769607425,
4.100000e-01,0,9210589237781060343,9210589237781060318,0,0,9210589237781060343,9210589237781060343,9210589237781060343,
4.200000e-01,0,9210447841411420581,9210447841411420578,0,0,9210447841411420581,9210447841411420581,9210447841411420581,
4.300000e-01,0,9210309772325907744,9210309772325907714,1,1,9210309772325907743,9210309772325907743,9210309772325907743,
4.400000e-01,0,9210174877525244086,9210174877525244053,0,0,9210174877525244086,9210174877525244086,9210174877525244086,
4.500000e-01,0,9210043014326508164,9210043014326508147,0,0,9210043014326508164,9210043014326508164,9210043014326508164,
4.600000e-01,0,9209914049456011267,9209914049456011249,1,1,9209914049456011267,9209914049456011267,9209914049456011267,
4.700000e-01,0,9209787858239737895,9209787858239737861,0,0,9209787858239737895,9209787858239737895,9209787858239737895,
4.800000e-01,0,9209664323879022981,9209664323879022949,1,1,9209664323879022981,9209664323879022981,9209664323879022981,
4.900000e-01,0,9209543336800918338,9209543336800918322,1,1,9209543336800918338,9209543336800918338,9209543336800918338,
5.000000e-01,0,9209424794074192767,9209424794074192728,0,0,9209424794074192767,9209424794074192767,9209424794074192767,
5.100000e-01,0,9209308598883165884,9209308598883165856,1,1,9209308598883165884,9209308598883165884,9209308598883165884,
5.200000e-01,0,9209194660052636178,9209194660052636137,1,1,9209194660052636179,9209194660052636179,9209194660052636179,
5.300000e-01,0,9209082891618062646,9209082891618062605,0,0,9209082891618062645,9209082891618062645,9209082891618062645,
5.400000e-01,0,9208973212435923720,9208973212435923681,0,0,9208973212435923720,9208973212435923720,9208973212435923720,
5.500000e-01,0,9208865545829829427,9208865545829829409,1,1,9208865545829829427,9208865545829829427,9208865545829829427,
5.600000e-01,0,9208759819268520739,9208759819268520737,1,1,9208759819268520739,9208759819268520739,9208759819268520739,
5.700000e-01,0,9208550132081099280,9208550132081099273,1,1,9208550132081099280,9208550132081099280,9208550132081099280,
5.800000e-01,0,9208312017918177054,9208312017918177021,1,1,9208312017918177054,9208312017918177054,9208312017918177054,
5.900000e-01,0,9208077974282791296,9208077974282791277,1,1,9208077974282791296,9208077974282791296,9208077974282791296,
6.000000e-01,0,9207847864340657159,not_finite,1,1,9207847864340657159,9207847864340657159,not_finite,
6.100000e-01,0,9207621558043294836,9207621558043294804,1,1,9207621558043294836,9207621558043294836,9207621558043294836,
6.200000e-01,0,9207398931686626102,9207398931686626084,1,1,9207398931686626102,9207398931686626102,9207398931686626102,
6.300000e-01,0,9207179867504887853,9207179867504887845,1,1,9207179867504887853,9207179867504887853,9207179867504887853,
6.400000e-01,0,9206964253296525066,9206964253296525034,1,1,9206964253296525066,9206964253296525066,9206964253296525066,
6.500000e-01,0,9206751982079087954,9206751982079087929,1,1,9206751982079087954,9206751982079087954,9206751982079087954,
6.600000e-01,0,9206542951770476033,9206542951770475993,0,0,9206542951770476033,9206542951770476033,9206542951770476033,
6.700000e-01,0,9206337064894151613,9206337064894151584,1,1,9206337064894151613,9206337064894151613,9206337064894151613,
6.800000e-01,0,9206134228306191841,9206134228306191812,0,0,9206134228306191841,9206134228306191841,9206134228306191841,
6.900000e-01,0,9205934352942266121,9205934352942266097,1,1,9205934352942266121,9205934352942266121,9205934352942266121,
7.000000e-01,0,9205737353582818594,9205737353582818563,0,0,9205737353582818594,9205737353582818594,9205737353582818594,
7.100000e-01,0,9205543148634906042,9205543148634906018,1,1,9205543148634906042,9205543148634906042,9205543148634906042,
7.200000e-01,0,9205351659929293457,9205351659929293419,0,0,9205351659929293457,9205351659929293457,9205351659929293457,
7.300000e-01,0,9205162812531544388,9205162812531544361,1,1,9205162812531544388,9205162812531544388,9205162812531544388,
7.400000e-01,0,9204976534565963522,9204976534565963494,0,0,9204976534565963522,9204976534565963522,9204976534565963522,
7.500000e-01,0,9204790549805052034,9204790549805052034,2,2,9204790549805052034,9204790549805052034,9204790549805052034,
7.600000e-01,0,9204401957011430673,9204401957011430667,0,0,9204401957011430673,9204401957011430673,9204401957011430673,
7.700000e-01,0,9204018444007797419,9204018444007797411,1,1,9204018444007797419,9204018444007797419,9204018444007797419,
7.800000e-01,0,9203639879697269098,9203639879697269096,0,0,9203639879697269098,9203639879697269098,9203639879697269098,
7.900000e-01,0,9203266137993310857,9203266137993310851,1,1,9203266137993310857,9203266137993310857,9203266137993310857,
8.000000e-01,0,9202897097567626122,9202897097567626106,0,0,9202897097567626122,9202897097567626122,9202897097567626122,
8.100000e-01,0,9202532641613706794,9202532641613706795,1,1,9202532641613706794,9202532641613706794,9202532641613706794,
8.200000e-01,0,9202172657624890711,9202172657624890681,0,0,9202172657624890711,9202172657624890711,9202172657624890711,
8.300000e-01,0,9201817037185871179,9201817037185871161,0,0,9201817037185871179,9201817037185871179,9201817037185871179,
8.400000e-01,0,9201465675776691898,9201465675776691891,1,1,9201465675776691898,9201465675776691898,9201465675776691898,
8.500000e-01,0,9201118472588340641,9201118472588340628,1,1,9201118472588340640,9201118472588340640,9201118472588340640,
8.600000e-01,0,9200775330349127714,9200775330349127679,1,1,9200775330349127714,9200775330349127714,9200775330349127714,
8.700000e-01,0,9200290652675648576,9200290652675648538,1,1,9200290652675648576,9200290652675648576,9200290652675648576,
8.800000e-01,0,9199597701790712629,9199597701790712590,1,1,9199597701790712629,9199597701790712629,9199597701790712629,
8.900000e-01,0,9198912581026853350,9198912581026853337,2,2,9198912581026853350,9198912581026853350,9198912581026853350,
9.000000e-01,0,9198235115403774764,9198235115403774743,0,0,9198235115403774765,9198235115403774765,9198235115403774765,
9.100000e-01,0,9197565135741872787,9197565135741872771,1,1,9197565135741872787,9197565135741872787,9197565135741872787,
9.200000e-01,0,9196902478408640166,9196902478408640143,1,1,9196902478408640167,9196902478408640167,9196902478408640167,
9.300000e-01,0,9196246985078780084,9196246985078780060,1,1,9196246985078780083,9196246985078780083,9196246985078780083,
9.400000e-01,0,9194967587312259511,9194967587312259472,1,1,9194967587312259511,9194967587312259511,9194967587312259511,
9.500000e-01,0,9193663649499790938,9193663649499790903,1,1,9193663649499790938,9193663649499790938,9193663649499790938,
9.600000e-01,0,9192373365737246342,9192373365737246304,1,1,9192373365737246342,9192373365737246342,9192373365737246342,
9.700000e-01,0,9190405641412362144,9190405641412362123,0,0,9190405641412362144,9190405641412362144,9190405641412362144,
9.800000e-01,0,9187857948973157200,9187857948973157178,1,1,9187857948973157200,9187857948973157200,9187857948973157200,
