x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-4.000000e+00,75658844030539,75658844030539,75658844030539,75658844030539,75658844030539,75658844030539,75658844030539,75658844030539,680929596274847,75658844030539,
-3.900000e+00,167700084558097,167700084558097,167700084558097,167700084558097,167700084558098,167700084558098,167700084558097,167700084558097,1746079087980457,167700084558097,
-3.800000e+00,243156784423099,243156784423099,243156784423099,243156784423099,243156784423099,243156784423099,243156784423099,243156784423099,3208223766238341,243156784423099,
-3.700000e+00,307190317988102,307190317988102,307190317988102,307190317988102,307190317988102,307190317988102,307190317988102,307190317988102,4454764844476043,307190317988102,
-3.600000e+00,363162503652737,363162503652737,363162503652737,363162503652737,363162503652738,363162503652738,363162503652737,363162503652737,5608532043776375,363162503652737,
-3.500000e+00,413390376199910,413390376199910,413390376199910,413390376199910,413390376199910,413390376199910,413390376199910,413390376199910,7666761392230424,413390376199910,
-3.400000e+00,459559908944727,459559908944727,459559908944727,459559908944727,459559908944727,459559908944727,459559908944727,459559908944727,9572105946480757,459559908944727,
-3.300000e+00,502969218459843,502969218459843,502969218459843,502969218459843,502969218459843,502969218459843,502969218459843,502969218459843,13001505620799881,502969218459843,
-3.200000e+00,544682274252367,544682274252367,544682274252367,544682274252367,544682274252368,544682274252368,544682274252367,544682274252368,19256510901316470,544682274252367,
-3.100000e+00,585634971971980,585634971971980,585634971971980,585634971971980,585634971971981,585634971971981,585634971971980,585634971971980,9193920522208801728,585634971971980,
-3.000000e+00,626717463341374,626717463341374,626717463341374,626717463341374,626717463341374,626717463341374,626717463341374,626717463341374,9201981104541160593,626717463341374,
-2.900000e+00,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,9205634455634892447,668848609821168,
-2.800000e+00,713055927911393,713055927911393,713055927911393,713055927911393,713055927911394,713055927911394,713055927911393,713055927911393,9207571434493785367,713055927911393,
-2.700000e+00,760576148408194,760576148408194,760576148408194,760576148408194,760576148408194,760576148408194,760576148408194,760576148408194,9209582552349055106,760576148408194,
-2.600000e+00,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,9210880374684524334,812998409340290,
-2.500000e+00,887985996184315,887985996184315,887985996184315,887985996184315,887985996184316,887985996184316,887985996184315,887985996184315,9212055220774555074,887985996184315,
-2.400000e+00,1091666660130808,1091666660130808,1091666660130809,1091666660130808,1091666660130809,1091666660130809,1091666660130808,1091666660130808,9213309351897530377,1091666660130808,
-2.300000e+00,1329946924149796,1329946924149796,1329946924149796,1329946924149796,1329946924149796,1329946924149796,1329946924149796,1329946924149796,9214295369974997172,1329946924149796,
-2.200000e+00,1618726762312898,1618726762312898,1618726762312898,1618726762312898,1618726762312899,1618726762312899,1618726762312898,1618726762312898,9215078938922474097,1618726762312898,
-2.100000e+00,1985491226930343,1985491226930343,1985491226930343,1985491226930343,1985491226930343,1985491226930343,1985491226930343,1985491226930343,9216145362935770520,1985491226930343,
-2.000000e+00,2482784927844397,2482784927844397,2482784927844397,2482784927844397,2482784927844398,2482784927844398,2482784927844397,2482784927844397,9217284879954708239,2482784927844397,
-1.900000e+00,3226220177568023,3226220177568023,3226220177568023,3226220177568023,3226220177568023,3226220177568023,3226220177568023,3226220177568023,9218118598564634333,3226220177568023,
-1.800000e+00,4531945630218395,4531945630218395,4531945630218395,4531945630218395,4531945630218395,4531945630218395,4531945630218395,4531945630218395,9219449262706590247,4531945630218395,
-1.700000e+00,12227424770623222,12227424770623222,12227424770623222,12227424770623222,12227424770623222,12227424770623222,12227424770623222,12227424770623222,9215482581902091178,12227424770623222,
-1.600000e+00,9220076910602233414,9220076910602233414,9220076910602233414,9220076910602233414,9220076910602233414,9220076910602233414,9220076910602233414,9220076910602233414,17175056640754603,9220076910602233414,
-1.500000e+00,5322087094726827,5322087094726827,5322087094726827,5322087094726827,5322087094726826,5322087094726826,5322087094726827,5322087094726827,11778486225592369,5322087094726827,
-1.400000e+00,2405763683541706,2405763683541706,2405763683541706,2405763683541706,2405763683541705,2405763683541705,2405763683541706,2405763683541706,9071107137557404,2405763683541706,
-1.300000e+00,1592470460191935,1592470460191935,1592470460191935,1592470460191935,1592470460191934,1592470460191934,1592470460191935,1592470460191935,7283448067721333,1592470460191935,
-1.200000e+00,1322037554813505,1322037554813505,1322037554813505,1322037554813505,1322037554813504,1322037554813504,1322037554813505,1322037554813505,5586302822943843,1322037554813505,
-1.100000e+00,1019415347611207,1019415347611207,1019415347611207,1019415347611207,1019415347611206,1019415347611206,1019415347611207,1019415347611207,4829846895613747,1019415347611207,
-1.000000e+00,695364394481106,695364394481106,695364394481106,695364394481106,695364394481105,695364394481105,695364394481106,695364394481106,3747938329280700,695364394481106,
-9.000000e-01,474988451930080,474988451930080,474988451930080,474988451930080,474988451930080,474988451930080,474988451930080,474988451930080,3103247615753625,474988451930080,
-8.000000e-01,319663353177741,319663353177741,319663353177741,319663353177741,319663353177740,319663353177740,319663353177741,319663353177741,2743489984111851,319663353177741,
-7.000000e-01,208572882148658,208572882148658,208572882148658,208572882148658,208572882148658,208572882148658,208572882148658,208572882148658,1877155939337932,208572882148658,
-6.000000e-01,129449043015147,129449043015147,129449043015147,129449043015147,129449043015147,129449043015147,129449043015147,129449043015147,1165041387136317,129449043015147,
-5.000000e-01,148897796225927,148897796225927,148897796225927,148897796225927,148897796225926,148897796225926,148897796225927,148897796225927,923024414019700,148897796225927,
-4.000000e-01,76177201675447,76177201675447,76177201675447,76177201675447,76177201675446,76177201675446,76177201675447,76177201675447,685594815079009,76177201675447,
-3.000000e-01,32208762987586,32208762987586,32208762987586,32208762987586,32208762987586,32208762987586,32208762987586,32208762987586,289878866888271,32208762987586,
-2.000000e-01,19147416477283,19147416477283,19147416477283,19147416477283,19147416477282,19147416477282,19147416477283,19147416477283,172326748295548,19147416477283,
-1.000000e-01,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,43192592591893,4799176954654,
0.000000e+00,0,0,0,0,0,0,0,0,0,0,
1.000000e-01,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,4799176954654,43192592591894,4799176954654,
2.000000e-01,19147416477282,19147416477282,19147416477282,19147416477282,19147416477283,19147416477283,19147416477282,19147416477282,172326748295550,19147416477282,
3.000000e-01,32208762987584,32208762987584,32208762987584,32208762987584,32208762987585,32208762987585,32208762987584,32208762987584,289878866888273,32208762987584,
4.000000e-01,76177201675447,76177201675447,76177201675447,76177201675447,76177201675447,76177201675447,76177201675447,76177201675447,685594815079011,76177201675447,
5.000000e-01,148897796225927,148897796225927,148897796225927,148897796225927,148897796225927,148897796225927,148897796225927,148897796225927,923024414019700,148897796225927,
6.000000e-01,129449043015146,129449043015146,129449043015146,129449043015146,129449043015146,129449043015146,129449043015146,129449043015146,1165041387136325,129449043015146,
7.000000e-01,208572882148659,208572882148659,208572882148660,208572882148659,208572882148660,208572882148660,208572882148659,208572882148660,1877155939337935,208572882148659,
8.000000e-01,319663353177743,319663353177743,319663353177743,319663353177743,319663353177743,319663353177743,319663353177743,319663353177743,2743489984111852,319663353177743,
9.000000e-01,474988451930079,474988451930079,474988451930079,474988451930079,474988451930079,474988451930079,474988451930079,474988451930079,3103247615753629,474988451930079,
1.000000e+00,695364394481106,695364394481106,695364394481106,695364394481106,695364394481106,695364394481106,695364394481106,695364394481106,3747938329280700,695364394481106,
1.100000e+00,1019415347611209,1019415347611209,1019415347611209,1019415347611209,1019415347611210,1019415347611210,1019415347611209,1019415347611209,4829846895613760,1019415347611209,
1.200000e+00,1322037554813505,1322037554813505,1322037554813505,1322037554813505,1322037554813506,1322037554813506,1322037554813505,1322037554813505,5586302822943848,1322037554813505,
1.300000e+00,1592470460191940,1592470460191940,1592470460191940,1592470460191940,1592470460191940,1592470460191940,1592470460191940,1592470460191940,7283448067721353,1592470460191940,
1.400000e+00,2405763683541711,2405763683541711,2405763683541711,2405763683541711,2405763683541712,2405763683541712,2405763683541711,2405763683541711,9071107137557414,2405763683541711,
1.500000e+00,5322087094726827,5322087094726827,5322087094726827,5322087094726827,5322087094726827,5322087094726827,5322087094726827,5322087094726827,11778486225592369,5322087094726827,
1.600000e+00,9220076910602233181,9220076910602233181,9220076910602233181,9220076910602233181,9220076910602233180,9220076910602233180,9220076910602233181,9220076910602233181,17175056640754691,9220076910602233181,
1.700000e+00,12227424770623126,12227424770623126,12227424770623126,12227424770623126,12227424770623126,12227424770623126,12227424770623126,12227424770623126,9215482581902091244,12227424770623126,
1.800000e+00,4531945630218380,4531945630218380,4531945630218380,4531945630218380,4531945630218380,4531945630218380,4531945630218380,4531945630218380,9219449262706590243,4531945630218380,
1.900000e+00,3226220177568019,3226220177568019,3226220177568019,3226220177568019,3226220177568019,3226220177568019,3226220177568019,3226220177568019,9218118598564634327,3226220177568019,
2.000000e+00,3224119891188169,3224119891188169,3224119891188169,not_finite,3224119891188169,3224119891188169,3224119891188169,3224119891188169,9216543544991364467,not_finite,
2.100000e+00,1985491226930340,1985491226930340,1985491226930341,1985491226930340,1985491226930340,1985491226930340,1985491226930340,1985491226930340,9216145362935770507,1985491226930340,
2.200000e+00,1618726762312898,1618726762312898,1618726762312898,1618726762312898,1618726762312898,1618726762312898,1618726762312898,1618726762312898,9215078938922474097,1618726762312898,
2.300000e+00,1329946924149795,1329946924149795,1329946924149795,1329946924149795,1329946924149795,1329946924149795,1329946924149795,1329946924149795,9214295369974997164,1329946924149795,
2.400000e+00,1091666660130808,1091666660130808,1091666660130808,1091666660130808,1091666660130807,1091666660130807,1091666660130808,1091666660130808,9213309351897530370,1091666660130808,
2.500000e+00,887985996184315,887985996184315,887985996184315,887985996184315,887985996184315,887985996184315,887985996184315,887985996184315,9212055220774555074,887985996184315,
2.600000e+00,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,812998409340290,9210880374684524323,812998409340290,
2.700000e+00,760576148408194,760576148408194,760576148408194,760576148408194,760576148408193,760576148408193,760576148408194,760576148408194,9209582552349055106,760576148408194,
2.800000e+00,713055927911394,713055927911394,713055927911394,713055927911394,713055927911393,713055927911393,713055927911394,713055927911394,9207571434493785349,713055927911394,
2.900000e+00,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,668848609821168,9205634455634892430,668848609821168,
3.000000e+00,626717463341374,626717463341374,626717463341374,626717463341374,626717463341373,626717463341373,626717463341374,626717463341374,9201981104541160593,626717463341374,
