x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,
-4.200000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
-4.000000e-01,1.000000e+00,1.000000e+00,3.147016e-317,1.200000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
-3.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.600000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
-3.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
-3.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
-3.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.800000e+01,1.000000e+00,1.797693e+308,
-3.000000e-01,1.000000e+00,1.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
-2.800000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-2.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-2.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,2.000000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
-2.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-2.000000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-1.800000e-01,1.000000e+00,1.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
-1.600000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-1.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-1.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.700000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
-1.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,0.000000e+00,1.797693e+308,
-8.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,1.600000e+01,1.400000e+01,0.000000e+00,1.797693e+308,
-6.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,1.000000e+00,1.797693e+308,
-4.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,8.000000e+00,8.000000e+00,0.000000e+00,1.797693e+308,
-2.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,9.000000e+00,8.000000e+00,0.000000e+00,1.797693e+308,
0.000000e+00,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,0.000000e+00,1.797693e+308,
2.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,9.000000e+00,0.000000e+00,1.797693e+308,
4.000000e-02,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
6.000000e-02,0.000000e+00,1.000000e+00,3.147016e-317,1.400000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
8.000000e-02,0.000000e+00,1.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
1.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,6.000000e+00,1.797693e+308,
1.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.000000e+01,1.000000e+00,1.797693e+308,
1.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,9.000000e+00,1.000000e+00,1.797693e+308,
1.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
1.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
2.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
2.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
2.400000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
2.600000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,1.000000e+00,1.797693e+308,
2.800000e-01,1.000000e+00,1.000000e+00,3.147016e-317,1.000000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
3.000000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
3.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
3.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
3.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
3.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,1.000000e+00,1.797693e+308,
4.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,1.000000e+00,1.797693e+308,
4.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
4.400000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
4.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
4.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
5.000000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
5.200000e-01,0.000000e+00,1.000000e+00,3.147016e-317,2.000000e+01,1.400000e+01,0.000000e+00,1.797693e+308,
5.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
5.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.200000e+01,1.000000e+00,1.797693e+308,
5.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
6.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
6.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.600000e+01,1.600000e+01,0.000000e+00,1.797693e+308,
6.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.500000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
6.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.300000e+01,1.000000e+00,1.797693e+308,
6.800000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.400000e+01,1.300000e+01,1.000000e+00,1.797693e+308,
7.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.500000e+01,1.400000e+01,0.000000e+00,1.797693e+308,
7.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
7.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.700000e+01,1.800000e+01,0.000000e+00,1.797693e+308,
7.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.500000e+01,1.500000e+01,0.000000e+00,1.797693e+308,
7.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.500000e+01,1.400000e+01,0.000000e+00,1.797693e+308,
8.000000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.300000e+01,1.400000e+01,1.000000e+00,1.797693e+308,
8.200000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.300000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
8.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,2.700000e+01,1.300000e+01,0.000000e+00,1.797693e+308,
8.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.500000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
8.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.100000e+01,1.000000e+00,1.797693e+308,
9.000000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.400000e+01,1.200000e+01,0.000000e+00,1.797693e+308,
9.200000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.300000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
9.400000e-01,1.000000e+00,0.000000e+00,3.147016e-317,1.200000e+01,1.100000e+01,0.000000e+00,1.797693e+308,
9.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,1.000000e+00,1.797693e+308,
9.800000e-01,0.000000e+00,1.000000e+00,3.147016e-317,1.100000e+01,1.000000e+01,0.000000e+00,1.797693e+308,
1.000000e+00,0.000000e+00,1.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,0.000000e+00,1.797693e+308,
