x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,0,0,0,0,0,0,0,0,0,
-9.800000e-01,0,0,0,0,1,1,0,0,0,
-9.600000e-01,0,0,0,0,0,0,0,0,0,
-9.400000e-01,0,0,1,0,1,1,0,1,0,
-9.200000e-01,0,0,0,0,1,1,0,0,0,
-9.000000e-01,0,0,0,0,0,0,0,0,0,
-8.800000e-01,0,0,0,0,1,1,0,0,0,
-8.600000e-01,0,0,0,0,1,1,0,0,0,
-8.400000e-01,0,0,1,0,1,1,0,0,0,
-8.200000e-01,0,0,0,0,1,1,0,0,0,
-8.000000e-01,0,0,0,0,0,0,0,0,0,
-7.800000e-01,0,0,0,0,0,0,0,0,0,
-7.600000e-01,0,0,0,0,1,1,0,0,0,
-7.400000e-01,0,0,0,0,0,0,0,1,0,
-7.200000e-01,0,0,0,0,0,0,0,1,0,
-7.000000e-01,0,0,1,0,0,0,0,1,0,
-6.800000e-01,0,0,0,0,0,0,0,0,0,
-6.600000e-01,0,0,0,0,0,0,0,0,0,
-6.400000e-01,0,0,0,0,1,1,0,0,0,
-6.200000e-01,0,0,0,0,1,1,0,0,0,
-6.000000e-01,0,0,0,0,0,0,0,0,0,
-5.800000e-01,0,0,0,0,1,1,0,0,0,
-5.600000e-01,0,0,0,0,0,0,0,0,0,
-5.400000e-01,0,0,0,0,1,1,0,0,0,
-5.200000e-01,0,0,0,0,1,1,0,0,0,
-5.000000e-01,0,0,0,0,1,1,0,0,0,
-4.800000e-01,0,0,0,0,0,0,0,0,0,
-4.600000e-01,0,0,0,0,0,0,0,0,0,
-4.400000e-01,0,0,0,0,0,0,0,0,0,
-4.200000e-01,0,0,0,0,0,0,0,0,0,
-4.000000e-01,0,0,0,0,0,0,0,0,0,
-3.800000e-01,0,0,0,0,1,1,0,0,0,
-3.600000e-01,0,0,0,0,1,1,0,0,0,
-3.400000e-01,0,0,0,0,0,0,0,0,0,
-3.200000e-01,0,0,0,0,0,0,0,0,0,
-3.000000e-01,0,0,0,0,1,1,0,0,0,
-2.800000e-01,0,0,0,0,1,1,0,0,0,
-2.600000e-01,0,0,0,0,1,1,0,0,0,
-2.400000e-01,0,0,0,0,0,0,0,0,0,
-2.200000e-01,0,0,0,0,0,0,0,0,0,
-2.000000e-01,0,0,0,0,1,1,0,0,0,
-1.800000e-01,0,0,0,0,1,1,0,0,0,
-1.600000e-01,0,0,0,0,1,1,0,0,0,
-1.400000e-01,0,0,0,0,1,1,0,0,0,
-1.200000e-01,0,0,0,0,1,1,0,0,0,
-1.000000e-01,0,0,0,0,0,0,0,0,0,
-8.000000e-02,0,0,0,0,1,1,0,0,0,
-6.000000e-02,0,0,0,0,0,0,0,0,0,
-4.000000e-02,0,0,0,0,0,0,0,0,0,
-2.000000e-02,0,0,0,0,1,1,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,0,0,1,1,0,0,0,
4.000000e-02,0,0,0,0,0,0,0,0,0,
6.000000e-02,0,0,0,0,1,1,0,0,0,
8.000000e-02,0,0,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,1,1,0,0,0,
1.200000e-01,0,0,0,0,0,0,0,0,0,
1.400000e-01,0,0,0,0,0,0,0,0,0,
1.600000e-01,0,0,0,0,0,0,0,0,0,
1.800000e-01,0,0,0,0,1,1,0,0,0,
2.000000e-01,0,0,0,not_finite,1,1,0,0,not_finite,
2.200000e-01,0,0,0,0,0,0,0,0,0,
2.400000e-01,0,0,0,0,0,0,0,0,0,
2.600000e-01,0,0,0,0,1,1,0,0,0,
2.800000e-01,0,0,0,0,0,0,0,0,0,
3.000000e-01,0,0,0,0,0,0,0,0,0,
3.200000e-01,0,0,0,0,1,1,0,0,0,
3.400000e-01,0,0,0,0,1,1,0,0,0,
3.600000e-01,0,0,0,0,0,0,0,0,0,
3.800000e-01,0,0,0,0,0,0,0,0,0,
4.000000e-01,0,0,0,0,1,1,0,0,0,
4.200000e-01,0,0,0,0,1,1,0,0,0,
4.400000e-01,0,0,0,0,0,0,0,0,0,
4.600000e-01,0,0,0,0,0,0,0,0,0,
4.800000e-01,0,0,0,0,0,0,0,0,0,
5.000000e-01,0,0,0,0,1,1,0,1,0,
5.200000e-01,0,0,0,0,1,1,0,0,0,
5.400000e-01,0,0,0,0,1,1,0,0,0,
5.600000e-01,0,0,0,0,0,0,0,0,0,
5.800000e-01,0,0,0,0,1,1,0,0,0,
6.000000e-01,0,0,0,0,0,0,0,0,0,
6.200000e-01,0,0,0,0,0,0,0,0,0,
6.400000e-01,0,0,0,1,0,0,0,0,1,
6.600000e-01,0,0,0,0,0,0,0,0,0,
6.800000e-01,0,0,0,0,1,1,0,0,0,
7.000000e-01,0,0,0,0,0,0,0,0,0,
7.200000e-01,0,0,0,0,1,1,0,1,0,
7.400000e-01,0,0,0,0,0,0,0,0,0,
7.600000e-01,0,0,0,0,0,0,0,0,0,
7.800000e-01,0,0,0,0,0,0,0,0,0,
8.000000e-01,0,0,0,1,0,0,0,0,1,
8.200000e-01,0,0,0,0,1,1,0,0,0,
8.400000e-01,0,0,0,0,0,0,0,0,0,
8.600000e-01,0,0,0,0,0,0,0,0,0,
8.800000e-01,0,0,0,0,1,1,0,0,0,
9.000000e-01,0,0,0,0,1,1,0,0,0,
9.200000e-01,0,0,0,0,0,0,0,0,0,
9.400000e-01,0,0,0,0,0,0,0,0,0,
9.600000e-01,0,0,0,0,1,1,0,0,0,
9.800000e-01,0,0,0,0,1,1,0,0,0,
1.000000e+00,0,0,0,0,0,0,0,0,0,
