x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,5504399544563940,5504399544563940,4606181618882823964,4606181618882823964,5504399544563940,5504399544563940,4606181618882823964,4606181618882823964,4606181618882823964,
2.000000e-02,6860118120863588,6860118120863588,9202564675953329179,9202564675953329179,6860118120863589,6860118120863589,9202564675953329179,9202564675953329179,9202564675953329179,
3.000000e-02,8447889149284934,8447889149284934,9203356038510906936,9203356038510906936,8447889149284934,8447889149284934,9203356038510906936,9203356038510906936,9203356038510906936,
4.000000e-02,10135911292184775,10135911292184775,9202436763833078840,9202436763833078840,10135911292184776,10135911292184776,9202436763833078840,9202436763833078840,9202436763833078840,
5.000000e-02,12527568144158222,12527568144158222,9200481550879576947,9200481550879576947,12527568144158222,12527568144158222,9200481550879576947,9200481550879576947,9200481550879576947,
6.000000e-02,15537628282827532,15537628282827532,9197828091371102451,9197828091371102451,15537628282827533,15537628282827533,9197828091371102451,9197828091371102451,9197828091371102451,
7.000000e-02,21408287751924745,21408287751924745,9192258933438839318,9192258933438839318,21408287751924746,21408287751924746,9192258933438839318,9192258933438839318,9192258933438839318,
8.000000e-02,9186958860175564005,9186958860175564005,26969533525999258,26969533525999258,9186958860175564005,9186958860175564005,26969533525999258,26969533525999258,26969533525999258,
9.000000e-02,9196762137539152896,9196762137539152896,17396626643443455,17396626643443455,9196762137539152896,9196762137539152896,17396626643443455,17396626643443455,17396626643443455,
1.000000e-01,9199853238800729884,9199853238800729884,14511598799304932,14511598799304932,9199853238800729884,9199853238800729884,14511598799304932,14511598799304932,14511598799304932,
1.100000e-01,9201472135248053287,9201472135248053287,12706286270527082,12706286270527083,9201472135248053287,9201472135248053287,12706286270527083,12706286270527083,12706286270527083,
1.200000e-01,9202493242540495495,9202493242540495495,11514994429344507,11514994429344507,9202493242540495495,9202493242540495495,11514994429344507,11514994429344507,11514994429344507,
1.300000e-01,9203432570193269096,9203432570193269096,10419112167775304,10419112167775304,9203432570193269097,9203432570193269097,10419112167775304,10419112167775304,10419112167775304,
1.400000e-01,9204171842886368005,9204171842886368005,9534892546637915,9534892546637915,9204171842886368005,9204171842886368005,9534892546637915,9534892546637915,9534892546637915,
1.500000e-01,9204441727609642950,9204441727609642950,9130065461725499,9130065461725499,9204441727609642951,9204441727609642951,9130065461725499,9130065461725499,9130065461725499,
1.600000e-01,9204694187907966405,9204694187907966405,8751375014240316,8751375014240316,9204694187907966406,9204694187907966406,8751375014240316,8751375014240316,8751375014240316,
1.700000e-01,9204931337905204470,9204931337905204470,8395650018383219,8395650018383219,9204931337905204470,9204931337905204470,8395650018383219,8395650018383219,8395650018383219,
1.800000e-01,9205154928870032579,9205154928870032579,8060263571141055,8060263571141055,9205154928870032579,9205154928870032579,8060263571141055,8060263571141055,8060263571141055,
1.900000e-01,9205366427779068902,9205366427779068902,7743015207586569,7743015207586569,9205366427779068903,9205366427779068903,7743015207586569,7743015207586569,7743015207586569,
2.000000e-01,9205567075704909511,9205567075704909511,7442043318825657,7442043318825657,9205567075704909512,9205567075704909512,7442043318825657,7442043318825657,7442043318825657,
2.100000e-01,9205757931943700742,9205757931943700742,7155758960638811,7155758960638811,9205757931943700743,9205757931943700743,7155758960638811,7155758960638811,7155758960638811,
2.200000e-01,9205939907867818403,9205939907867818403,6882795074462318,6882795074462318,9205939907867818404,9205939907867818404,6882795074462318,6882795074462318,6882795074462318,
2.300000e-01,9206113793247306949,9206113793247306949,6621967005229499,6621967005229499,9206113793247306950,9206113793247306950,6621967005229499,6621967005229499,6621967005229499,
2.400000e-01,9206280276965299139,9206280276965299139,6372241428241214,6372241428241214,9206280276965299140,9206280276965299140,6372241428241214,6372241428241214,6372241428241214,
