x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,0,0,
1.570796e+00,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,
1.047198e+00,-3,-3,-3,27,-3,-3,-3,-3,-3,-3,
5.235988e-01,1,1,1,8,2,2,1,1,1,1,
7.853982e-01,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,
3.926991e-01,0,0,0,1,1,1,0,0,0,0,
6.283185e-01,-2,-2,-1,6,-1,-1,-2,-2,-2,-1,
3.141593e-01,0,0,0,5,0,0,0,0,0,0,
2.617994e-01,-1,-1,-1,12,0,0,-1,-1,-1,-1,
1.000000e+22,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,
