x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,4616870979110786325,4616870979110786325,0,0,4616870979110786326,4616870979110786326,0,0,0,0,
2.000000e-02,9220410045788214686,9220410045788214686,0,0,9220410045788214687,9220410045788214687,0,0,0,0,
3.000000e-02,9222705014286396336,9222705014286396336,0,1,9222705014286396336,9222705014286396336,1,1,1,1,
4.000000e-02,9223352816723543842,9223352816723543842,0,0,9223352816723543843,9223352816723543843,0,0,0,0,
5.000000e-02,9223855291330818244,9223855291330818244,0,0,9223855291330818245,9223855291330818245,0,0,0,0,
6.000000e-02,9224265842978437676,9224265842978437676,0,0,9224265842978437677,9224265842978437677,0,0,0,0,
7.000000e-02,9224612959450552150,9224612959450552150,0,0,9224612959450552151,9224612959450552151,0,0,0,0,
8.000000e-02,9224734758966831659,9224734758966831659,0,0,9224734758966831659,9224734758966831659,0,0,0,0,
9.000000e-02,9224734758966831660,9224734758966831660,0,0,9224734758966831660,9224734758966831660,0,0,0,0,
1.000000e-01,9224734758966831659,9224734758966831659,0,0,9224734758966831660,9224734758966831660,0,0,0,0,
1.100000e-01,9224734758966831659,9224734758966831659,0,0,9224734758966831660,9224734758966831660,0,0,0,0,
1.200000e-01,9224734758966831659,9224734758966831659,0,0,9224734758966831660,9224734758966831660,0,0,0,0,
1.300000e-01,9224734758966831659,9224734758966831659,0,0,9224734758966831659,9224734758966831659,0,0,0,0,
1.400000e-01,9224658451903125678,9224658451903125678,0,0,9224658451903125678,9224658451903125678,0,0,0,0,
1.500000e-01,9224503093767965751,9224503093767965751,0,0,9224503093767965752,9224503093767965752,0,0,0,0,
1.600000e-01,9224357765938092647,9224357765938092647,0,0,9224357765938092647,9224357765938092647,0,0,0,0,
1.700000e-01,9224221251425981660,9224221251425981660,0,0,9224221251425981661,9224221251425981661,0,0,0,0,
1.800000e-01,9224092542120346319,9224092542120346319,0,0,9224092542120346320,9224092542120346320,0,0,0,0,
1.900000e-01,9223970793561563433,9223970793561563433,0,0,9223970793561563434,9223970793561563434,0,0,0,0,
2.000000e-01,9223855291330818244,9223855291330818244,0,0,9223855291330818245,9223855291330818245,0,0,0,0,
2.100000e-01,9223745425648231845,9223745425648231845,0,0,9223745425648231846,9223745425648231846,0,0,0,0,
2.200000e-01,9223640671885692559,9223640671885692559,0,0,9223640671885692559,9223640671885692559,0,0,0,0,
2.300000e-01,9223540575415017574,9223540575415017574,0,0,9223540575415017574,9223540575415017574,0,0,0,0,
2.400000e-01,9223444739683198814,9223444739683198814,0,0,9223444739683198814,9223444739683198814,0,0,0,0,
2.500000e-01,9223352816723543842,9223352816723543842,0,0,9223352816723543843,9223352816723543843,0,0,0,0,
2.600000e-01,9223264499528972681,9223264499528972681,0,0,9223264499528972682,9223264499528972682,0,0,0,0,
2.700000e-01,9223179515865452486,9223179515865452486,0,0,9223179515865452486,9223179515865452486,0,0,0,0,
2.800000e-01,9223097623211084338,9223097623211084338,0,0,9223097623211084339,9223097623211084339,0,0,0,0,
2.900000e-01,9223018604583671352,9223018604583671352,0,0,9223018604583671352,9223018604583671352,0,0,0,0,
3.000000e-01,9222942265075924412,9222942265075924412,0,0,9222942265075924412,9222942265075924412,0,0,0,0,
3.100000e-01,9222868428959000828,9222868428959000828,0,0,9222868428959000829,9222868428959000829,0,0,0,0,
3.200000e-01,9222796937246051307,9222796937246051307,0,0,9222796937246051307,9222796937246051307,0,0,0,0,
3.300000e-01,9222727645630798725,9222727645630798725,0,0,9222727645630798725,9222727645630798725,0,0,0,0,
3.400000e-01,9222660422733940320,9222660422733940320,0,0,9222660422733940321,9222660422733940321,0,0,0,0,
3.500000e-01,9222595148603809936,9222595148603809936,0,0,9222595148603809936,9222595148603809936,0,0,0,0,
3.600000e-01,9222531713428304980,9222531713428304980,0,0,9222531713428304980,9222531713428304980,0,0,0,0,
3.700000e-01,9222444130963706228,9222444130963706228,0,0,9222444130963706229,9222444130963706229,0,0,0,0,
3.800000e-01,9222263976302273459,9222263976302273459,0,0,9222263976302273459,9222263976302273459,0,0,0,0,
3.900000e-01,9222088501515943721,9222088501515943721,0,0,9222088501515943721,9222088501515943721,0,0,0,0,
4.000000e-01,9221917469610037892,9221917469610037892,0,0,9221917469610037893,9221917469610037893,0,0,0,0,
4.100000e-01,9221750661148746691,9221750661148746691,0,0,9221750661148746691,9221750661148746691,0,0,0,0,
4.200000e-01,9221587872562278694,9221587872562278694,0,0,9221587872562278695,9221587872562278695,0,0,0,0,
4.300000e-01,9221428914653226105,9221428914653226105,0,0,9221428914653226105,9221428914653226105,0,0,0,0,
4.400000e-01,9221273611274660834,9221273611274660834,0,0,9221273611274660834,9221273611274660834,0,0,0,0,
4.500000e-01,9221121798156798911,9221121798156798911,0,0,9221121798156798911,9221121798156798911,0,0,0,0,
4.600000e-01,9220973321862635880,9220973321862635880,0,0,9220973321862635881,9220973321862635881,0,0,0,0,
4.700000e-01,9220828038855906952,9220828038855906952,0,0,9220828038855906953,9220828038855906953,0,0,0,0,
4.800000e-01,9220685814667179598,9220685814667179598,0,1,9220685814667179599,9220685814667179599,1,1,1,1,
4.900000e-01,9220546523145935270,9220546523145935270,0,0,9220546523145935270,9220546523145935270,0,0,0,0,
5.000000e-01,9220410045788214686,9220410045788214686,0,0,9220410045788214687,9220410045788214687,0,0,0,0,
