x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,0,0,30,1,1,0,0,0,
-9.800000e-01,0,0,31,1,1,0,0,0,
-9.600000e-01,0,1,39,0,0,0,0,1,
-9.400000e-01,0,0,25,0,0,0,0,0,
-9.200000e-01,0,0,24,0,0,0,0,0,
-9.000000e-01,0,0,19,1,1,0,0,0,
-8.800000e-01,0,0,5,1,1,0,0,0,
-8.600000e-01,0,0,40,0,0,0,0,0,
-8.400000e-01,0,0,7,1,1,0,0,0,
-8.200000e-01,0,0,7,0,0,0,0,0,
-8.000000e-01,0,0,3,1,1,0,0,0,
-7.800000e-01,0,0,2,1,1,0,0,0,
-7.600000e-01,0,0,6,1,1,0,0,0,
-7.400000e-01,0,0,7,1,1,0,0,0,
-7.200000e-01,0,0,0,0,0,0,0,0,
-7.000000e-01,0,0,0,1,1,0,0,0,
-6.800000e-01,0,0,5,0,0,0,0,0,
-6.600000e-01,0,0,5,0,0,0,0,0,
-6.400000e-01,0,0,0,0,0,0,0,0,
-6.200000e-01,0,0,7,1,1,0,0,0,
-6.000000e-01,0,0,3,0,0,0,0,0,
-5.800000e-01,0,1,2,0,0,0,0,0,
-5.600000e-01,0,0,2,1,1,0,0,0,
-5.400000e-01,0,0,9,0,0,0,0,0,
-5.200000e-01,0,0,1,0,0,0,0,0,
-5.000000e-01,0,0,8,0,0,0,0,0,
-4.800000e-01,0,0,1,0,0,0,0,0,
-4.600000e-01,0,0,6,1,1,0,0,0,
-4.400000e-01,0,0,6,0,0,0,1,0,
-4.200000e-01,0,0,0,1,1,0,0,0,
-4.000000e-01,0,0,1,0,0,0,0,0,
-3.800000e-01,0,0,10,1,1,0,0,0,
-3.600000e-01,0,0,1,1,1,0,0,0,
-3.400000e-01,0,0,12,1,1,0,0,1,
-3.200000e-01,0,0,1,1,1,0,0,0,
-3.000000e-01,0,0,7,1,1,0,0,0,
-2.800000e-01,0,0,16,1,1,0,0,0,
-2.600000e-01,0,0,16,1,1,0,0,0,
-2.400000e-01,0,0,8,1,1,0,0,0,
-2.200000e-01,0,0,14,0,0,0,1,1,
-2.000000e-01,0,0,27,1,1,0,0,0,
-1.800000e-01,0,0,23,1,1,0,0,0,
-1.600000e-01,0,0,22,1,1,0,0,0,
-1.400000e-01,0,0,30,0,0,0,0,0,
-1.200000e-01,0,0,5,1,1,0,0,1,
-1.000000e-01,0,0,56,1,1,0,0,0,
-8.000000e-02,0,0,2,1,1,0,0,0,
-6.000000e-02,0,0,53,0,0,0,0,0,
-4.000000e-02,0,0,6,1,1,0,0,0,
-2.000000e-02,0,0,142,1,1,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,142,0,0,0,0,0,
4.000000e-02,0,0,6,0,0,0,0,0,
6.000000e-02,0,0,69,1,1,0,0,0,
8.000000e-02,0,0,6,0,0,0,0,0,
1.000000e-01,0,0,64,0,0,0,0,0,
1.200000e-01,0,0,13,0,0,0,0,1,
1.400000e-01,0,0,34,1,1,0,0,0,
1.600000e-01,0,0,18,0,0,0,0,0,
1.800000e-01,0,0,23,0,0,0,0,0,
2.000000e-01,0,0,not_finite,0,0,0,0,not_finite,
2.200000e-01,0,0,14,1,1,0,1,1,
2.400000e-01,0,0,8,0,0,0,0,0,
2.600000e-01,0,0,16,0,0,0,0,0,
2.800000e-01,0,0,16,0,0,0,0,0,
3.000000e-01,0,0,10,1,1,0,1,1,
3.200000e-01,0,0,4,1,1,0,0,0,
3.400000e-01,0,0,15,1,1,0,0,0,
3.600000e-01,0,0,1,0,0,0,0,0,
3.800000e-01,0,0,12,0,0,0,0,0,
4.000000e-01,0,0,3,1,1,0,0,0,
4.200000e-01,0,0,16,0,0,0,0,0,
4.400000e-01,0,0,6,1,1,0,1,0,
4.600000e-01,0,0,6,0,0,0,0,0,
4.800000e-01,0,0,1,1,1,0,0,0,
5.000000e-01,0,0,8,1,1,0,0,0,
5.200000e-01,0,0,1,1,1,0,0,0,
5.400000e-01,0,0,9,1,1,0,0,0,
5.600000e-01,0,0,2,0,0,0,0,0,
5.800000e-01,0,1,2,1,1,0,0,0,
6.000000e-01,0,0,4,0,0,0,0,0,
6.200000e-01,0,0,8,0,0,0,1,1,
6.400000e-01,0,0,1,0,0,0,0,0,
6.600000e-01,0,0,7,0,0,0,0,0,
6.800000e-01,0,0,5,1,1,0,0,0,
7.000000e-01,0,0,0,0,0,0,0,0,
7.200000e-01,0,0,0,1,1,0,0,0,
7.400000e-01,0,0,7,0,0,0,0,0,
7.600000e-01,0,0,6,0,0,0,0,0,
7.800000e-01,0,0,2,0,0,0,0,0,
8.000000e-01,0,0,3,0,0,0,0,0,
8.200000e-01,0,0,7,1,1,0,0,0,
8.400000e-01,0,0,0,0,0,0,0,0,
8.600000e-01,0,0,41,1,1,0,0,0,
8.800000e-01,0,0,6,0,0,0,0,0,
9.000000e-01,0,0,20,0,0,0,0,0,
9.200000e-01,0,0,22,0,0,0,0,0,
9.400000e-01,0,0,25,1,1,0,0,0,
9.600000e-01,0,1,39,1,1,0,0,1,
9.800000e-01,0,0,31,0,0,0,0,0,
1.000000e+00,0,0,30,0,0,0,0,0,
